city_string,area_code,quandl_code
Abilene TX,10180,FMAC/HPI_10180
Akron OH,10420,FMAC/HPI_10420
Albany GA,10500,FMAC/HPI_10500
Albany OR,10540,FMAC/HPI_10540
Albany-Schenectady-Troy NY,10580,FMAC/HPI_10580
Albuquerque NM,10740,FMAC/HPI_10740
Alexandria LA,10780,FMAC/HPI_10780
Allentown-Bethlehem-Easton PA-NJ,10900,FMAC/HPI_10900
Altoona PA,11020,FMAC/HPI_11020
Amarillo TX,11100,FMAC/HPI_11100
Ames IA,11180,FMAC/HPI_11180
Anchorage AK,11260,FMAC/HPI_11260
Ann Arbor MI,11460,FMAC/HPI_11460
Anniston-Oxford-Jacksonville AL,11500,FMAC/HPI_11500
Appleton WI,11540,FMAC/HPI_11540
Asheville NC,11700,FMAC/HPI_11700
Athens-Clarke County GA,12020,FMAC/HPI_12020
Atlanta-Sandy Springs-Roswell GA,12060,FMAC/HPI_12060
Atlantic City-Hammonton NJ,12100,FMAC/HPI_12100
Auburn-Opelika AL,12220,FMAC/HPI_12220
Augusta-Richmond County GA-SC,12260,FMAC/HPI_12260
Austin-Round Rock TX,12420,FMAC/HPI_12420
Bakersfield CA,12540,FMAC/HPI_12540
Baltimore-Columbia-Towson MD,12580,FMAC/HPI_12580
Bangor ME,12620,FMAC/HPI_12620
Barnstable Town MA,12700,FMAC/HPI_12700
Baton Rouge LA,12940,FMAC/HPI_12940
Battle Creek MI,12980,FMAC/HPI_12980
Bay City MI,13020,FMAC/HPI_13020
Beaumont-Port Arthur TX,13140,FMAC/HPI_13140
Beckley WV,13220,FMAC/HPI_13220
Bellingham WA,13380,FMAC/HPI_13380
Bend-Redmond OR,13460,FMAC/HPI_13460
Billings MT,13740,FMAC/HPI_13740
Binghamton NY,13780,FMAC/HPI_13780
Birmingham-Hoover AL,13820,FMAC/HPI_13820
Bismarck ND,13900,FMAC/HPI_13900
Blacksburg-Christiansburg-Radford VA,13980,FMAC/HPI_13980
Bloomington IL,14010,FMAC/HPI_14010
Bloomington IN,14020,FMAC/HPI_14020
